idIIP,nazwaGlown,kategoria,rodzaj,x,y
PL.PZGiK.320.NGRP.41987,Huszczka Duża,miejscowość,wieś,23.314107058500287,50.837354203437556
PL.PZGiK.320.NGRP.41988,Huszczka Mała,miejscowość,wieś,23.308699006716232,50.84994029907932
PL.PZGiK.320.NGRP.41990,Huszlew,miejscowość,wieś,22.83986582904583,52.137427108971124
PL.PZGiK.320.NGRP.41994,Huta,miejscowość,część wsi,17.93560390334235,52.103707799376565
PL.PZGiK.320.NGRP.41995,Huta,miejscowość,część wsi,18.056888158933056,52.09518412886497
PL.PZGiK.320.NGRP.41996,Huta,miejscowość,część wsi,18.39619616820743,51.89734382661776
PL.PZGiK.320.NGRP.41997,Huta,miejscowość,wieś,17.721307827319084,51.564309875646664
PL.PZGiK.320.NGRP.41998,Huta,miejscowość,przysiółek wsi,18.279966507445273,51.471949976631514
PL.PZGiK.320.NGRP.41999,Huta,miejscowość,wieś,16.68217279443639,52.86802661630212
PL.PZGiK.320.NGRP.42001,Huta,miejscowość,część miasta,18.252625700542065,50.35696631961982
PL.PZGiK.320.NGRP.42003,Huta,miejscowość,wieś,16.547373979854736,50.327467119160254
PL.PZGiK.320.NGRP.42004,Huta,miejscowość,wieś,17.828711949268307,53.85408031900516
PL.PZGiK.320.NGRP.42005,Huta,miejscowość,osada,19.343097104994918,53.66569294326319
PL.PZGiK.320.NGRP.42006,Huta,miejscowość,część wsi,17.12301492553694,53.51784491100633
PL.PZGiK.320.NGRP.42008,Huta,miejscowość,kolonia,18.153821508407617,53.51715417516268
PL.PZGiK.320.NGRP.42009,Huta,miejscowość,wieś,17.70087786625586,53.34389421059465
PL.PZGiK.320.NGRP.42010,Huta,miejscowość,kolonia wsi,18.58316214987871,53.51494481883317
PL.PZGiK.320.NGRP.42011,Huta,miejscowość,część wsi,19.172586164913913,53.5476000061585
PL.PZGiK.320.NGRP.42012,Huta,miejscowość,wieś,19.68238500351946,53.081445242201966
PL.PZGiK.320.NGRP.42013,Huta,miejscowość,wieś,19.360364445505706,52.80576674254452
PL.PZGiK.320.NGRP.42014,Huta,miejscowość,przysiółek wsi,20.373888868319444,52.83000001673894
PL.PZGiK.320.NGRP.42015,Huta,miejscowość,wieś,22.588236468812326,54.229538634809906
PL.PZGiK.320.NGRP.42016,Huta,miejscowość,wieś,23.055606683943196,53.72372669126236
PL.PZGiK.320.NGRP.42017,Huta,miejscowość,część wsi,19.890273360720503,51.82453705748864
PL.PZGiK.320.NGRP.42021,Huta,miejscowość,część wsi,23.437045282813898,51.42809198581943
PL.PZGiK.320.NGRP.42022,Huta,miejscowość,wieś,22.206523691166314,51.52918007391071
PL.PZGiK.320.NGRP.42023,Huta,miejscowość,wieś,21.333087995814555,51.46337965203765
PL.PZGiK.320.NGRP.42024,Huta,miejscowość,wieś,22.7819672406517,50.901194302961414
PL.PZGiK.320.NGRP.42025,Huta,miejscowość,wieś,23.603690963096124,50.93578938589908
PL.PZGiK.320.NGRP.42026,Huta,miejscowość,część wsi,21.504862957284193,51.360699614418465
PL.PZGiK.320.NGRP.42027,Huta,miejscowość,wieś,21.551159998648675,51.186793899435045
PL.PZGiK.320.NGRP.42028,Huta,miejscowość,wieś,20.73426661701801,51.20497157288714
PL.PZGiK.320.NGRP.42029,Huta,miejscowość,wieś,22.10076565063274,51.27819123269524
PL.PZGiK.320.NGRP.42030,Huta,miejscowość,część wsi,21.97390494729879,51.10090605973403
PL.PZGiK.320.NGRP.42032,Huta,miejscowość,wieś,21.911071337737067,50.892832916357975
PL.PZGiK.320.NGRP.42033,Huta,miejscowość,przysiółek wsi,22.291876588842737,50.8255784730799
PL.PZGiK.320.NGRP.42036,Huta,miejscowość,wieś,19.4769233809173,51.411702350055975
PL.PZGiK.320.NGRP.42037,Huta,miejscowość,wieś,18.524855641844855,51.37178802536985
PL.PZGiK.320.NGRP.42038,Huta,miejscowość,część wsi,22.351843081004034,49.863126399205285
PL.PZGiK.320.NGRP.42039,Huta,miejscowość,wieś,18.95972320733539,51.27112571073079
PL.PZGiK.320.NGRP.42040,Huty,miejscowość,część wsi,22.19458651319199,49.728644111536084
PL.PZGiK.320.NGRP.42042,Huta,miejscowość,część wsi,20.14388893549638,51.34138887379008
PL.PZGiK.320.NGRP.42043,Huta,miejscowość,wieś,20.490445960790648,51.36537764444995
